"SCC.Level.Two" "SCC.Level.Three" "SCC.Level.Four"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Collector: Urban Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Collector: Urban Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Collector: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Collector: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Collector: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Collector: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Local: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Local: Urban Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Local: Urban Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Local: Urban Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Local: Urban Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Local: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Local: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Local: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Local: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Parking Area: Rural"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Parking Area: Urban"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Parking Area: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Total: All Road Types"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Interstate: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Interstate: Rural Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Interstate: Rural Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Interstate: Rural Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Interstate: Rural Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Interstate: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Interstate: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Interstate: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Interstate: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Other Principal Arterial: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Other Principal Arterial: Rural Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Other Principal Arterial: Rural Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Other Principal Arterial: Rural Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Other Principal Arterial: Rural Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Other Principal Arterial: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Other Principal Arterial: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Other Principal Arterial: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Other Principal Arterial: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Minor Arterial: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Minor Arterial: Rural Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Minor Arterial: Rural Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Minor Arterial: Rural Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Minor Arterial: Rural Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Minor Arterial: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Minor Arterial: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Minor Arterial: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Minor Arterial: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Major Collector: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Major Collector: Rural Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Major Collector: Rural Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Major Collector: Rural Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Major Collector: Rural Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Major Collector: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Major Collector: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Major Collector: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Major Collector: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Minor Collector: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Minor Collector: Rural Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Minor Collector: Rural Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Minor Collector: Rural Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Minor Collector: Rural Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Minor Collector: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Minor Collector: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Minor Collector: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Minor Collector: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Local: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Local: Rural Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Local: Rural Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Local: Rural Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Local: Rural Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Local: Brake Wear"
